Round64,Round32,Round16,Round8,Round4,Round2,Round1
W01,X01,X01,X01,X10,W01,Y02
W16,X09,X04,X10,Z02,Y02,
W08,X12,X11,Z01,W01,,
W09 ,X04,X10,Z02,Y02,,
W05,X11,Z01,W01,,,
W12,X03,Z04,W06,,,
W04,X10,Z03,Y01,,,
W13,X15,Z02,Y02,,,
W06,Z01,W01,,,,
W11,Z08,W05,,,,
W03,Z12,W06,,,,
W14,Z04,W07,,,,
W07 ,Z11,Y01,,,,
W10,Z03,Y05,,,,
W02,Z10,Y03,,,,
W15,Z02,Y02,,,,
X01,W01,,,,,
X16,W09,,,,,
X08,W05,,,,,
X09 ,W04,,,,,
X05,W06,,,,,
X12,W14,,,,,
X04,W07,,,,,
X13,W02,,,,,
X06,Y01,,,,,
X11,Y09,,,,,
X03,Y05,,,,,
X14,Y13,,,,,
X07 ,Y11,,,,,
X10,Y03,,,,,
X02,Y07,,,,,
X15,Y02,,,,,
Y01,,,,,,
Y16,,,,,,
Y08,,,,,,
Y09 ,,,,,,
Y05,,,,,,
Y12,,,,,,
Y04,,,,,,
Y13,,,,,,
Y06,,,,,,
Y11,,,,,,
Y03,,,,,,
Y14,,,,,,
Y07 ,,,,,,
Y10,,,,,,
Y02,,,,,,
Y15,,,,,,
Z01,,,,,,
Z16,,,,,,
Z08,,,,,,
Z09 ,,,,,,
Z05,,,,,,
Z12,,,,,,
Z04,,,,,,
Z13,,,,,,
Z06,,,,,,
Z11,,,,,,
Z03,,,,,,
Z14,,,,,,
Z07 ,,,,,,
Z10,,,,,,
Z02,,,,,,
Z15,,,,,,
