Rk,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conference W,Conference L,Home W,Home L,Away W,Away L,Points Tm.,Points Opp.,School Advanced Pace,School Advanced ORtg,School Advanced FTr,School Advanced 3PAr,School Advanced TS%,School Advanced TRB%,School Advanced AST%,School Advanced STL%,School Advanced BLK%,School Advanced eFG%,School Advanced TOV%,School Advanced ORB%,School Advanced FT/FGA
1,Abilene Christian,29,13,16,0.448,-11.86,-7.1,7,11,9,5,4,11,2009,2073,68,100.1,0.349,0.354,0.554,47.1,56.6,10.5,8.5,0.53,18.5,23.5,0.232
2,Air Force,33,12,21,0.364,-3.06,1,4,14,11,7,0,11,2411,2477,69,104.6,0.381,0.388,0.544,50.3,60.5,8.6,5.7,0.506,15,26.1,0.273
3,Akron,36,27,9,0.75,3.59,-1.21,14,4,13,2,7,6,2772,2550,68,113.1,0.366,0.484,0.58,51.2,54.5,8.1,8.6,0.556,15,29.8,0.25
4,Alabama A&M,29,2,27,0.069,-26.99,-11.09,2,16,1,9,1,18,1794,2255,65.4,93.4,0.396,0.289,0.487,46.4,51.9,5.2,4.4,0.446,17.3,30,0.265
5,Alabama-Birmingham,33,17,16,0.515,-1.17,-1.83,9,9,11,5,4,8,2369,2316,67.8,105.1,0.373,0.322,0.556,52.4,60.2,7,13.2,0.518,17.3,30.2,0.274
6,Alabama State,31,8,23,0.258,-19.75,-10.75,6,12,6,5,1,17,2042,2305,69.6,93.2,0.346,0.368,0.478,50.4,41.7,6.8,8,0.447,18.6,34.6,0.22
7,Alabama,34,19,15,0.559,11.29,7.47,10,8,11,6,5,6,2330,2200,67.4,100.3,0.391,0.372,0.515,53.8,48.2,8.6,11.6,0.483,17.3,34.1,0.255
8,Albany (NY),35,21,14,0.6,-0.16,-4.69,10,6,11,5,9,8,2496,2301,65.3,109.2,0.333,0.266,0.555,55.5,49,7.8,5.6,0.517,15.6,33.7,0.252
9,Alcorn State,32,18,14,0.563,-12.33,-10.95,13,5,11,2,6,11,2221,2175,69.2,100,0.328,0.359,0.515,51.4,53.1,9.4,9.2,0.488,17.3,32.5,0.214
10,American,30,8,22,0.267,-10.3,-3.5,5,13,4,11,4,11,1845,2049,65.2,94,0.307,0.343,0.522,46.6,49,10.6,6.9,0.503,18.3,21.7,0.19
11,Appalachian State,30,9,21,0.3,-8.67,-1.6,4,14,8,6,1,14,2208,2279,72.1,101.7,0.378,0.417,0.525,50.7,55.3,7.7,7.6,0.491,16.5,29.4,0.258
12,Arizona State,33,15,18,0.455,4.02,7.11,7,11,9,7,4,6,2593,2695,72.5,108,0.319,0.438,0.55,45.1,48.4,8.1,8.8,0.514,12.7,24.4,0.239
13,Arizona NCAA,37,32,5,0.865,18.25,7.63,16,2,15,1,9,1,2833,2440,67.3,113.8,0.405,0.305,0.58,55.1,51.3,8.1,8.8,0.537,14.5,33.1,0.31
14,Arkansas-Little Rock,32,15,17,0.469,-6.07,-3.8,6,12,9,6,4,9,2188,2185,66.1,102.7,0.333,0.342,0.54,50.6,48.9,8.6,11.7,0.502,16.9,28.8,0.246
15,Arkansas-Pine Bluff,32,7,25,0.219,-22.81,-10.28,6,12,6,6,1,19,1977,2320,68.7,88.2,0.337,0.36,0.494,46.8,48.1,12.4,9.5,0.463,22.4,29.8,0.22
16,Arkansas State,32,20,12,0.625,0.87,-2.1,11,7,12,1,7,9,2346,2211,68.8,106.1,0.415,0.323,0.547,52.1,48.1,7.8,7.3,0.522,16.2,31.4,0.265
17,Arkansas NCAA,36,26,10,0.722,14.04,8.6,12,6,15,3,6,5,2855,2659,71.7,110.7,0.381,0.295,0.558,49.5,49.8,10.8,12.4,0.514,14.3,31.7,0.29
18,Army,32,13,19,0.406,-5.84,-4.1,6,12,9,8,4,10,2324,2340,72,99.7,0.28,0.433,0.538,51.8,61.8,7.6,4.9,0.518,18.3,27.1,0.183
19,Auburn,32,18,14,0.563,8.17,7.33,7,11,10,5,6,6,2573,2546,75.2,106.1,0.425,0.401,0.544,48.4,48.3,9.6,13.4,0.511,15.5,30.3,0.285
20,Austin Peay,30,11,19,0.367,-11,-2.32,7,9,5,8,4,11,2331,2515,71.8,106.9,0.405,0.373,0.569,44.9,40.2,7.8,6.3,0.535,15.4,24.4,0.286
21,Ball State,34,21,13,0.618,-1.45,-3.57,11,7,11,5,7,7,2677,2567,72.7,106.7,0.346,0.418,0.571,51.2,56.9,8.1,8.8,0.54,17.5,28.3,0.248
22,Baylor NCAA,35,27,8,0.771,19.75,11.87,12,6,15,2,6,4,2550,2228,65.3,111.5,0.338,0.328,0.562,56.5,59.1,7.9,13,0.53,17.1,40.2,0.244
