Rk,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conference W,Conference L,Home W,Home L,Away W,Away L,Points Team,Points Opponent,MP,Opponent Totals FG,Opponent Totals FGA,Opponent Totals FG%,Opponent Totals 3P,Opponent Totals 3PA,Opponent Totals 3P%,Opponent Totals FT,Opponent Totals FTA,Opponent Totals FT%,Opponent Totals ORB,Opponent Totals TRB,Opponent Totals AST,Opponent Totals STL,Opponent Totals BLK,Opponent Totals TOV,Opponent Totals PF
1,Abilene Christian,31,10,21,0.323,-17.2,-6.34,4,14,7,6,1,14,1976,2186,1240,748,1558,0.48,183,509,0.36,507,737,0.688,313,1113,375,180,125,452,527
2,Air Force,31,14,17,0.452,-1.85,-0.71,6,12,11,5,1,11,2037,2017,1245,694,1571,0.442,252,698,0.361,377,548,0.688,308,954,446,183,106,383,530
3,Akron,35,21,14,0.6,3.65,-0.47,9,9,15,3,2,9,2382,2203,1406,750,1853,0.405,188,574,0.328,515,759,0.679,387,1223,366,242,96,443,591
4,Alabama A&M,29,9,20,0.31,-17.15,-9.62,8,10,4,7,5,12,1797,1988,1165,714,1581,0.452,151,464,0.325,409,652,0.627,360,1018,340,203,87,344,556
5,Alabama-Birmingham NCAA,36,20,16,0.556,1.94,1.62,12,6,13,4,3,8,2476,2452,1480,883,2083,0.424,217,667,0.325,469,685,0.685,435,1269,439,223,144,476,660
6,Alabama State,29,19,10,0.655,-8.97,-12.71,14,4,9,3,8,5,2090,1937,1165,691,1658,0.417,173,510,0.339,382,590,0.647,304,999,343,210,85,394,537
7,Alabama,34,19,15,0.559,10.52,8.09,8,10,14,5,4,8,2280,2180,1371,735,1790,0.411,215,663,0.324,495,701,0.706,377,1137,399,175,82,416,664
8,Albany (NY) NCAA,33,24,9,0.727,-0.34,-5.18,15,1,12,3,12,5,2156,1996,1325,697,1657,0.421,250,690,0.362,352,502,0.701,274,964,380,158,116,408,618
9,Alcorn State,32,6,26,0.188,-20.75,-9.95,4,14,4,7,1,15,2066,2377,1280,848,1809,0.469,195,525,0.371,486,716,0.679,369,1200,417,164,107,396,567
10,American,33,17,16,0.515,-3.56,-3.71,8,10,8,3,7,13,1938,1933,1339,706,1552,0.455,173,505,0.343,348,513,0.678,294,983,361,167,91,416,562
11,Appalachian State,29,12,17,0.414,-9.81,-3.18,9,11,7,5,5,12,1841,2033,1160,735,1604,0.458,152,472,0.322,411,602,0.683,290,1014,364,180,93,332,556
12,Arizona State,34,18,16,0.529,9.52,6.66,9,9,15,3,3,10,2360,2263,1385,821,1821,0.451,188,519,0.362,433,621,0.697,274,1055,422,208,144,437,701
13,Arizona NCAA,38,34,4,0.895,24.33,7.41,16,2,17,0,8,3,2911,2268,1525,777,1951,0.398,206,615,0.335,508,728,0.698,285,1065,370,180,97,523,791
14,Arkansas-Little Rock,31,13,18,0.419,-5.38,-3.81,8,12,9,7,3,9,2146,2180,1275,749,1688,0.444,223,602,0.37,459,678,0.677,331,1143,390,145,86,419,578
15,Arkansas-Pine Bluff,32,12,20,0.375,-15.65,-8.61,9,9,5,4,5,13,1915,2140,1285,705,1583,0.445,210,569,0.369,520,773,0.673,392,1135,416,240,87,518,546
16,Arkansas State,29,11,18,0.379,-10.1,-3.81,6,14,5,9,6,9,1869,2018,1170,716,1681,0.426,195,586,0.333,391,583,0.671,342,1074,343,193,78,343,484
17,Arkansas NCAA,36,27,9,0.75,14.07,6.79,13,5,17,2,7,5,2787,2525,1450,869,2031,0.428,223,634,0.352,564,789,0.715,433,1281,448,206,104,567,696
18,Army,30,15,15,0.5,-6.5,-4.98,6,12,7,7,7,8,2164,2163,1215,772,1684,0.458,171,482,0.355,448,673,0.666,320,1064,423,206,107,404,561
19,Auburn,35,15,20,0.429,3.27,8.15,4,14,9,8,2,10,2378,2523,1415,887,1892,0.469,205,617,0.332,544,779,0.698,382,1297,451,235,153,513,760
20,Austin Peay,30,8,22,0.267,-12.45,-2.81,3,13,6,7,1,14,1937,2178,1200,758,1609,0.471,227,588,0.386,435,599,0.726,271,1029,417,240,94,424,591
21,Ball State,30,7,23,0.233,-5.06,0.04,2,16,6,9,1,14,1961,2070,1226,720,1564,0.46,183,514,0.356,445,642,0.693,272,972,375,221,99,360,536
22,Baylor NCAA,34,24,10,0.706,17.85,9.33,11,7,16,2,6,5,2349,2048,1370,738,1836,0.402,196,653,0.3,376,583,0.645,376,1052,512,224,136,410,613
23,Belmont NCAA,33,22,11,0.667,0.35,-2.77,11,5,12,2,7,8,2450,2330,1320,854,1889,0.452,238,692,0.344,384,539,0.712,330,1080,433,217,117,418,624
24,Bethune-Cookman,32,11,21,0.344,-15.52,-10.45,7,9,6,8,4,11,1899,2003,1280,663,1560,0.425,178,529,0.336,499,710,0.703,336,1009,353,205,102,401,583
25,Binghamton,32,6,26,0.188,-13.45,-3.49,5,11,5,9,1,15,1845,2124,1285,745,1666,0.447,238,639,0.372,396,579,0.684,326,1124,414,197,73,419,602
26,Boise State NCAA,34,25,9,0.735,10.01,1.38,14,4,13,1,8,5,2390,2045,1385,730,1754,0.416,195,632,0.309,390,558,0.699,279,1030,359,162,105,430,568
27,Boston College,32,13,19,0.406,6.32,7.94,4,14,9,8,2,7,2105,2157,1300,742,1682,0.441,177,529,0.335,496,689,0.72,321,1067,397,170,106,391,569
28,Boston University,30,13,17,0.433,-5.63,-3.12,9,9,8,6,5,10,2037,2087,1210,731,1620,0.451,242,654,0.37,381,535,0.712,267,928,455,160,80,322,553
29,Bowling Green State,33,21,12,0.636,2.93,-1.25,11,7,11,6,10,5,2196,2076,1325,728,1764,0.413,219,663,0.33,401,573,0.7,336,1110,355,205,114,411,582
30,Bradley,33,9,24,0.273,-4.3,1.52,3,15,7,9,1,10,1882,2026,1340,667,1559,0.428,211,589,0.358,481,701,0.686,295,1077,399,202,116,454,562
31,Brigham Young NCAA,35,25,10,0.714,13.53,5.02,13,5,13,3,8,3,2931,2561,1420,894,2052,0.436,218,666,0.327,555,793,0.7,370,1185,493,231,125,456,739
32,Brown,31,13,18,0.419,-7.23,-1.99,4,10,9,6,3,11,2048,2144,1245,758,1795,0.422,186,553,0.336,442,646,0.684,345,1079,379,248,135,348,638
33,Bryant,31,16,15,0.516,-6.28,-4.93,12,6,9,5,7,10,2058,2100,1255,731,1711,0.427,192,609,0.315,446,615,0.725,341,1072,384,201,111,333,519
34,Bucknell,34,19,15,0.559,-3.66,-2.75,13,5,12,4,6,11,2339,2346,1380,814,1841,0.442,203,548,0.37,515,696,0.74,279,1075,385,173,148,320,652
35,Buffalo NCAA,33,23,10,0.697,7.93,1.6,12,6,11,2,9,7,2462,2253,1320,795,1881,0.423,235,713,0.33,428,645,0.664,367,1163,392,204,109,448,698
36,Butler NCAA,34,23,11,0.676,16.64,8.62,12,6,13,3,7,4,2346,2073,1380,740,1785,0.415,187,610,0.307,406,595,0.682,281,1049,374,183,151,431,654
37,Cal Poly,29,13,16,0.448,-0.57,0.43,6,10,7,4,5,10,1752,1721,1170,622,1459,0.426,167,479,0.349,310,449,0.69,253,961,353,115,98,306,464
38,Cal State Bakersfield,33,14,19,0.424,-6.4,-5.8,7,7,9,5,3,10,2100,2028,1345,647,1572,0.412,220,606,0.363,514,737,0.697,274,983,350,172,118,403,618
39,Cal State Fullerton,31,9,22,0.29,-8.58,-1.06,1,15,6,9,1,13,1991,2155,1255,742,1676,0.443,210,553,0.38,461,656,0.703,274,1059,408,182,119,345,567
40,Cal State Northridge,33,9,24,0.273,-6.61,0.39,4,12,7,9,1,14,2148,2325,1330,802,1853,0.433,259,717,0.361,462,658,0.702,344,1113,448,238,91,364,617
41,UC-Davis,32,25,7,0.781,2.19,-2.58,14,2,14,0,10,6,2263,2068,1295,730,1760,0.415,209,612,0.342,399,573,0.696,377,1018,395,218,76,380,567
42,UC-Irvine NCAA,34,21,13,0.618,3.63,0.45,11,5,10,3,6,9,2295,2113,1370,739,1878,0.394,184,542,0.339,451,650,0.694,382,1144,364,195,96,384,568
43,UC-Riverside,31,14,17,0.452,-4.65,-1.16,7,9,12,3,2,13,2025,2050,1255,691,1628,0.424,186,487,0.382,482,676,0.713,291,1030,362,193,113,386,567
44,UC-Santa Barbara,33,19,14,0.576,3.47,0.98,11,5,12,2,4,10,2258,2112,1345,713,1729,0.412,201,583,0.345,485,664,0.73,332,1093,397,156,68,390,578
45,University of California,33,18,15,0.545,5.36,6.15,7,11,11,7,5,6,2195,2221,1330,783,1839,0.426,156,464,0.336,499,715,0.698,292,1141,355,168,122,317,565
46,Campbell,32,10,22,0.313,-11.13,-5.3,4,14,9,6,1,15,2045,2124,1285,738,1616,0.457,177,513,0.345,471,651,0.724,288,1054,373,204,77,393,524
47,Canisius,33,18,15,0.545,-0.04,-2.79,11,9,10,5,8,8,2168,2077,1330,698,1704,0.41,203,630,0.322,478,693,0.69,360,1138,420,200,114,460,558
48,Central Arkansas,29,2,27,0.069,-22.84,-5.94,2,16,2,11,0,16,1894,2384,1160,848,1711,0.496,185,492,0.376,503,728,0.691,366,1067,449,272,106,379,534
49,Central Connecticut State,31,5,26,0.161,-16.56,-5.62,3,15,4,9,1,13,1834,2173,1245,822,1814,0.453,221,641,0.345,308,434,0.71,349,1093,437,203,114,315,484
50,Central Florida,30,12,18,0.4,-5.73,0.78,5,13,10,8,2,9,1981,2153,1230,825,1809,0.456,195,552,0.353,306,494,0.619,394,1102,453,202,119,312,513
51,Central Michigan,32,23,9,0.719,5.56,-1.1,12,6,16,1,6,7,2504,2187,1285,780,1752,0.445,221,639,0.346,406,608,0.668,325,1078,361,161,88,431,627
52,Charleston Southern,31,19,12,0.613,-4.48,-5.23,13,5,13,2,6,9,2277,2130,1259,740,1696,0.436,247,683,0.362,403,570,0.707,288,1067,379,168,120,410,559
