TeamName,TeamID,Season,G,W,L,FGM,FGA,FG%,FGM3,FGA3,FG3%,FTM,FTA,FT%,OR,DR,Ast,TO,Stl,Blk,PF,OFGM,OFGA,OFGM3,OFGA3,OFTM,OFTA,OOR,ODR,OAst,OTO,OStl,OBlk,OPF
Abilene Chr,1101,2014,21,2,19,427,1053,40.55080721747388,140,375,37.333333333333336,332,445,74.6067415730337,168,427,210,315,121,31,453,570,1122,126,340,385,542,218,506,327,255,147,105,392
Abilene Chr,1101,2015,28,7,21,600,1482,40.48582995951417,203,537,37.80260707635009,305,419,72.79236276849642,231,550,332,359,166,33,577,701,1424,173,468,437,636,281,725,362,377,164,119,463
Abilene Chr,1101,2016,27,9,18,643,1456,44.16208791208791,185,509,36.345776031434184,415,587,70.6984667802385,221,608,348,362,182,66,604,715,1449,151,409,478,674,232,681,347,363,138,89,531
Abilene Chr,1101,2017,25,9,16,611,1333,45.8364591147787,177,477,37.106918238993714,298,464,64.22413793103448,189,572,340,362,175,69,554,621,1342,177,490,397,595,266,626,340,370,151,79,431
Abilene Chr,1101,2018,27,12,15,689,1525,45.18032786885246,175,539,32.467532467532465,355,504,70.43650793650794,244,627,375,389,193,98,568,669,1466,179,533,449,633,268,676,325,418,176,79,477
Air Force,1102,2014,28,10,18,618,1451,42.59131633356306,200,608,32.89473684210526,372,539,69.01669758812616,244,640,375,377,148,83,529,654,1482,201,596,461,651,277,681,382,327,195,127,520
Air Force,1102,2015,29,12,17,685,1472,46.53532608695652,208,587,35.43441226575809,299,454,65.85903083700441,255,603,432,340,183,57,517,658,1464,236,645,358,519,291,611,419,359,168,105,495
Air Force,1102,2016,30,12,18,697,1651,42.216838279830405,189,566,33.3922261484099,440,653,67.3813169984686,264,765,391,396,183,50,580,741,1699,277,794,449,632,299,819,439,407,195,130,618
Air Force,1102,2017,31,10,21,751,1755,42.79202279202279,246,678,36.283185840707965,470,656,71.64634146341463,293,783,449,387,183,56,555,814,1768,303,828,413,577,255,813,491,378,195,108,638
Air Force,1102,2018,29,10,19,660,1627,40.565457897971726,230,708,32.48587570621469,384,520,73.84615384615384,285,658,403,370,187,76,526,732,1579,269,677,376,526,266,755,423,405,162,104,543
