Round64,Round32,Round16,Round8,Round4,Round2,Round1
W01,W01,W01,W04,W07,W07,W07
W16,W08,W04,W07,X01,Y08,
W08,W12,W03,X01,Y08,,
W09 ,W04,W07,X11,Z02,,
W05,W06,X01,Y08,,,
W12,W03,X04,Y02,,,
W04,W07,X11,Z01,,,
W13,W02,X10,Z02,,,
W06,X01,Y08,,,,
W11,X09,Y04,,,,
W03,X12,Y11,,,,
W14,X04,Y02,,,,
W07 ,X11,Z01,,,,
W10,X03,Z04,,,,
W02,X10,Z06,,,,
W15,X02,Z02,,,,
X01,Y01,,,,,
X16,Y08,,,,,
X08,Y05,,,,,
X09 ,Y04,,,,,
X05,Y11,,,,,
X12,Y14,,,,,
X04,Y07,,,,,
X13,Y02,,,,,
X06,Z01,,,,,
X11,Z08 ,,,,,
X03,Z12,,,,,
X14,Z04,,,,,
X07 ,Z06,,,,,
X10,Z03,,,,,
X02,Z07,,,,,
X15,Z02,,,,,
Y01,,,,,,
Y16,,,,,,
Y08,,,,,,
Y09 ,,,,,,
Y05,,,,,,
Y12,,,,,,
Y04,,,,,,
Y13,,,,,,
Y06,,,,,,
Y11,,,,,,
Y03,,,,,,
Y14,,,,,,
Y07 ,,,,,,
Y10,,,,,,
Y02,,,,,,
Y15,,,,,,
Z01,,,,,,
Z16,,,,,,
Z08,,,,,,
Z09 ,,,,,,
Z05,,,,,,
Z12,,,,,,
Z04,,,,,,
Z13,,,,,,
Z06,,,,,,
Z11,,,,,,
Z03,,,,,,
Z14,,,,,,
Z07 ,,,,,,
Z10,,,,,,
Z02,,,,,,
Z15,,,,,,
