Rk,School,Overall G,Overall W,Overall L,Overall W-L%,OverallSRS,Overall SOS,Conference W,Conference L,Home W,Home L,Away W,Away L,Points Team,PPG,Points Opponent,OPPG,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,31,10,21,0.323,-17.2,-6.34,4,14,7,6,1,14,1976,63.74193548,2186,70.51612903,1240,695,1684,0.413,232,610,0.38,354,487,0.727,274,897,394,203,38,399,661
2,Air Force,31,14,17,0.452,-1.85,-0.71,6,12,11,5,1,11,2037,65.70967742,2017,65.06451613,1245,742,1565,0.474,232,625,0.371,321,487,0.659,265,930,483,195,65,366,552
3,Akron,35,21,14,0.6,3.65,-0.47,9,9,15,3,2,9,2382,68.05714286,2203,62.94285714,1406,824,1982,0.416,328,937,0.35,406,617,0.658,420,1249,435,230,155,422,654
4,Alabama A&M,29,9,20,0.31,-17.15,-9.62,8,10,4,7,5,12,1797,61.96551724,1988,68.55172414,1165,608,1533,0.397,166,577,0.288,415,643,0.645,367,998,354,165,68,413,573
5,UAB,36,20,16,0.556,1.94,1.62,12,6,13,4,3,8,2476,68.77777778,2452,68.11111111,1480,873,2042,0.428,202,607,0.333,528,715,0.738,434,1322,516,237,184,482,630
6,Alabama State,29,19,10,0.655,-8.97,-12.71,14,4,9,3,8,5,2090,72.06896552,1937,66.79310345,1165,761,1738,0.438,172,480,0.358,396,609,0.65,389,1151,393,184,122,397,520
7,Alabama,34,19,15,0.559,10.52,8.09,8,10,14,5,4,8,2280,67.05882353,2180,64.11764706,1371,760,1724,0.441,221,697,0.317,539,752,0.717,325,1122,350,219,125,407,654
8,Albany,33,24,9,0.727,-0.34,-5.18,15,1,12,3,12,5,2156,65.33333333,1996,60.48484848,1325,729,1666,0.438,205,572,0.358,493,650,0.758,334,1111,349,187,53,381,544
9,Alcorn State,32,6,26,0.188,-20.75,-9.95,4,14,4,7,1,15,2066,64.5625,2377,74.28125,1280,724,1864,0.388,155,553,0.28,463,704,0.658,376,1038,285,191,86,367,571
10,American,33,17,16,0.515,-3.56,-3.71,8,10,8,3,7,13,1938,58.72727273,1933,58.57575758,1339,683,1479,0.462,213,571,0.373,359,509,0.705,188,827,408,196,84,370,484
11,Appalachian State,29,12,17,0.414,-9.81,-3.18,9,11,7,5,5,12,1841,63.48275862,2033,70.10344828,1160,637,1602,0.398,186,588,0.316,381,537,0.709,329,1010,318,122,61,397,551
12,Arizona State,34,18,16,0.529,9.52,6.66,9,9,15,3,3,10,2360,69.41176471,2263,66.55882353,1385,809,1818,0.445,231,660,0.35,511,766,0.667,365,1184,431,199,79,474,638
13,Arizona,38,34,4,0.895,24.33,7.41,16,2,17,0,8,3,2911,76.60526316,2268,59.68421053,1525,1009,2068,0.488,193,536,0.36,700,974,0.719,411,1399,528,275,131,419,681
14,Arkansas-Little Rock,31,13,18,0.419,-5.38,-3.81,8,12,9,7,3,9,2146,69.22580645,2180,70.32258065,1275,741,1779,0.417,219,636,0.344,445,632,0.704,329,1063,380,174,86,326,588
15,Arkansas-Pine Bluff,32,12,20,0.375,-15.65,-8.61,9,9,5,4,5,13,1915,59.84375,2140,66.875,1285,657,1639,0.401,204,613,0.333,397,584,0.68,326,927,323,283,108,489,623
16,Arkansas State,29,11,18,0.379,-10.1,-3.81,6,14,5,9,6,9,1869,64.44827586,2018,69.5862069,1170,664,1631,0.407,169,514,0.329,372,530,0.702,318,1038,321,154,89,390,496
17,Arkansas,36,27,9,0.75,14.07,6.79,13,5,17,2,7,5,2787,77.41666667,2525,70.13888889,1450,978,2196,0.445,238,681,0.349,593,819,0.724,470,1290,579,277,168,430,684
18,Army,30,15,15,0.5,-6.5,-4.98,6,12,7,7,7,8,2164,72.13333333,2163,72.1,1215,779,1768,0.441,227,697,0.326,379,557,0.68,325,1033,437,192,106,396,612
19,Auburn,35,15,20,0.429,3.27,8.15,4,14,9,8,2,10,2378,67.94285714,2523,72.08571429,1415,760,1880,0.404,252,727,0.347,606,910,0.666,356,1104,376,238,89,452,708
20,Austin Peay,30,8,22,0.267,-12.45,-2.81,3,13,6,7,1,14,1937,64.56666667,2178,72.6,1200,663,1667,0.398,155,513,0.302,456,685,0.666,373,1043,360,191,124,428,514
21,Ball State,30,7,23,0.233,-5.06,0.04,2,16,6,9,1,14,1961,65.36666667,2070,69,1226,669,1580,0.423,234,684,0.342,389,561,0.693,303,980,383,159,71,424,576
22,Baylor,34,24,10,0.706,17.85,9.33,11,7,16,2,6,5,2349,69.08823529,2048,60.23529412,1370,813,1874,0.434,236,626,0.377,487,723,0.674,497,1333,497,263,132,434,565
23,Belmont,33,22,11,0.667,0.35,-2.77,11,5,12,2,7,8,2450,74.24242424,2330,70.60606061,1320,858,1803,0.476,329,866,0.38,405,585,0.692,307,1093,504,209,66,451,549
24,Bethune-Cookman,32,11,21,0.344,-15.52,-10.45,7,9,6,8,4,11,1899,59.34375,2003,62.59375,1280,627,1567,0.4,163,542,0.301,482,672,0.717,372,1056,264,174,84,449,623
25,Binghamton,32,6,26,0.188,-13.45,-3.49,5,11,5,9,1,15,1845,57.65625,2124,66.375,1285,633,1598,0.396,171,554,0.309,408,618,0.66,288,992,278,186,80,433,577
26,Boise State,34,25,9,0.735,10.01,1.38,14,4,13,1,8,5,2390,70.29411765,2045,60.14705882,1385,831,1823,0.456,297,758,0.392,431,591,0.729,298,1119,409,206,79,348,582
27,Boston College,32,13,19,0.406,6.32,7.94,4,14,9,8,2,7,2105,65.78125,2157,67.40625,1300,743,1668,0.445,207,638,0.324,412,584,0.705,263,983,421,183,86,389,607
28,Boston University,30,13,17,0.433,-5.63,-3.12,9,9,8,6,5,10,2037,67.9,2087,69.56666667,1210,668,1498,0.446,232,631,0.368,469,674,0.696,263,953,368,170,56,369,522
29,Bowling Green State,33,21,12,0.636,2.93,-1.25,11,7,11,6,10,5,2196,66.54545455,2076,62.90909091,1325,778,1806,0.431,218,647,0.337,420,588,0.714,355,1156,406,219,123,386,550
30,Bradley,33,9,24,0.273,-4.3,1.52,3,15,7,9,1,10,1882,57.03030303,2026,61.39393939,1340,639,1700,0.376,179,594,0.301,425,641,0.663,377,1098,308,227,93,418,645
31,Brigham Young,35,25,10,0.714,13.53,5.02,13,5,13,3,8,3,2931,83.74285714,2561,73.17142857,1420,976,2090,0.467,300,763,0.393,679,886,0.766,421,1349,594,257,103,417,721
32,Brown,31,13,18,0.419,-7.23,-1.99,4,10,9,6,3,11,2048,66.06451613,2144,69.16129032,1245,686,1623,0.423,175,549,0.319,501,727,0.689,324,1129,369,139,138,460,591
33,Bryant,31,16,15,0.516,-6.28,-4.93,12,6,9,5,7,10,2058,66.38709677,2100,67.74193548,1255,709,1683,0.421,226,653,0.346,414,552,0.75,306,1029,381,157,77,366,560
34,Bucknell,34,19,15,0.559,-3.66,-2.75,13,5,12,4,6,11,2339,68.79411765,2346,69,1380,800,1828,0.438,233,605,0.385,506,726,0.697,340,1145,446,139,95,377,631
35,Buffalo,33,23,10,0.697,7.93,1.6,12,6,11,2,9,7,2462,74.60606061,2253,68.27272727,1320,837,1922,0.435,199,583,0.341,589,819,0.719,420,1260,433,248,132,378,613
36,Butler,34,23,11,0.676,16.64,8.62,12,6,13,3,7,4,2346,69,2073,60.97058824,1380,814,1882,0.433,192,540,0.356,526,767,0.686,408,1239,387,217,103,376,592
37,Cal Poly,29,13,16,0.448,-0.57,0.43,6,10,7,4,5,10,1752,60.4137931,1721,59.34482759,1170,620,1589,0.39,166,533,0.311,346,506,0.684,342,1002,295,158,87,255,465
38,Cal State Bakersfield,33,14,19,0.424,-6.4,-5.8,7,7,9,5,3,10,2100,63.63636364,2028,61.45454545,1345,715,1703,0.42,186,554,0.336,484,669,0.723,368,1143,427,190,59,409,673
39,Cal State Fullerton,31,9,22,0.29,-8.58,-1.06,1,15,6,9,1,13,1991,64.22580645,2155,69.51612903,1255,698,1695,0.412,167,523,0.319,428,623,0.687,323,1088,305,156,62,391,566
40,Cal State Northridge,33,9,24,0.273,-6.61,0.39,4,12,7,9,1,14,2148,65.09090909,2325,70.45454545,1330,740,1742,0.425,110,337,0.326,558,729,0.765,325,1133,443,180,125,435,597
41,UC-Davis,32,25,7,0.781,2.19,-2.58,14,2,14,0,10,6,2263,70.71875,2068,64.625,1295,775,1583,0.49,274,613,0.447,439,598,0.734,255,995,425,165,63,427,563
42,UC Irvine,34,21,13,0.618,3.63,0.45,11,5,10,3,6,9,2295,67.5,2113,62.14705882,1370,854,1851,0.461,217,558,0.389,370,541,0.684,329,1198,480,194,168,396,578
43,UC-Riverside,31,14,17,0.452,-4.65,-1.16,7,9,12,3,2,13,2025,65.32258065,2050,66.12903226,1255,707,1691,0.418,207,603,0.343,404,592,0.682,337,1080,399,208,111,413,626
44,UC-Santa Barbara,33,19,14,0.576,3.47,0.98,11,5,12,2,4,10,2258,68.42424242,2112,64,1345,806,1836,0.439,225,602,0.374,421,572,0.736,352,1134,503,171,118,360,619
45,University of California,33,18,15,0.545,5.36,6.15,7,11,11,7,5,6,2195,66.51515152,2221,67.3030303,1330,821,1868,0.44,185,515,0.359,368,567,0.649,299,1170,412,137,127,365,627
46,Campbell,32,10,22,0.313,-11.13,-5.3,4,14,9,6,1,15,2045,63.90625,2124,66.375,1285,705,1654,0.426,262,736,0.356,373,597,0.625,305,988,419,226,92,403,576
47,Canisius,33,18,15,0.545,-0.04,-2.79,11,9,10,5,8,8,2168,65.6969697,2077,62.93939394,1330,762,1864,0.409,215,677,0.318,429,596,0.72,401,1157,465,223,108,393,608
48,Central Arkansas,29,2,27,0.069,-22.84,-5.94,2,16,2,11,0,16,1894,65.31034483,2384,82.20689655,1160,646,1524,0.424,196,556,0.353,406,599,0.678,273,903,361,182,114,529,604
49,Central Connecticut State,31,5,26,0.161,-16.56,-5.62,3,15,4,9,1,13,1834,59.16129032,2173,70.09677419,1245,674,1675,0.402,146,454,0.322,340,479,0.71,332,1046,340,153,109,425,429
50,Central Florida,30,12,18,0.4,-5.73,0.78,5,13,10,8,2,9,1981,66.03333333,2153,71.76666667,1230,704,1621,0.434,202,577,0.35,371,577,0.643,313,997,369,155,128,390,470
51,Central Michigan,32,23,9,0.719,5.56,-1.1,12,6,16,1,6,7,2504,78.25,2187,68.34375,1285,848,1816,0.467,322,864,0.373,486,670,0.725,327,1080,447,226,84,325,562
52,Charleston Southern,31,19,12,0.613,-4.48,-5.23,13,5,13,2,6,9,2277,73.4516129,2130,68.70967742,1259,777,1846,0.421,288,845,0.341,435,633,0.687,403,1171,397,214,69,354,540
53,Charlotte,32,14,18,0.438,1.76,0.35,7,11,7,6,5,9,2362,73.8125,2317,72.40625,1320,858,1853,0.463,201,533,0.377,445,685,0.65,382,1166,437,207,80,435,558
54,Chattanooga,32,22,10,0.688,-1.63,-4.06,15,3,15,2,7,7,2325,72.65625,2141,66.90625,1305,793,1754,0.452,217,621,0.349,522,762,0.685,371,1118,384,210,203,418,620
55,Chicago State,32,8,24,0.25,-14.76,-2.48,4,10,7,5,1,16,1855,57.96875,2115,66.09375,1285,659,1747,0.377,194,644,0.301,343,514,0.667,391,1050,295,268,93,471,680
56,Cincinnati,34,23,11,0.676,10.72,4.4,13,5,15,3,6,5,2113,62.14705882,1898,55.82352941,1380,761,1705,0.446,167,507,0.329,424,633,0.67,383,1178,394,222,185,432,507
57,Citadel,30,11,19,0.367,-12.91,-4.68,6,12,8,6,3,10,1919,63.96666667,2058,68.6,1210,647,1436,0.451,206,515,0.4,419,546,0.767,271,874,394,141,66,392,449
58,Clemson,31,16,15,0.516,7.73,7.18,8,10,11,6,3,7,1944,62.70967742,1927,62.16129032,1250,689,1685,0.409,171,572,0.299,395,579,0.682,369,1122,330,168,148,365,502
59,Cleveland State,34,19,15,0.559,3.07,-0.78,11,5,12,3,6,12,2296,67.52941176,2098,61.70588235,1335,794,1760,0.451,238,629,0.378,382,557,0.686,353,1072,441,250,109,408,636
60,Coastal Carolina,34,24,10,0.706,-1.02,-6.18,12,6,14,2,8,7,2438,71.70588235,2121,62.38235294,1360,836,1899,0.44,228,633,0.36,538,780,0.69,447,1338,385,240,111,399,559
61,Colgate,33,16,17,0.485,-2.91,-3.41,12,6,10,5,6,12,2177,65.96969697,2125,64.39393939,1345,804,1661,0.484,253,649,0.39,316,453,0.698,229,994,446,170,89,379,557
62,College of Charleston,33,9,24,0.273,-7.23,-1.26,3,15,5,9,2,12,1934,58.60606061,2131,64.57575758,1330,686,1708,0.402,197,575,0.343,365,553,0.66,314,1064,317,182,96,397,679
63,Colorado State,34,27,7,0.794,8.12,0.69,13,5,15,2,8,4,2454,72.17647059,2181,64.14705882,1365,837,1901,0.44,245,699,0.351,535,794,0.674,411,1287,499,190,116,361,573
64,Colorado,34,16,18,0.471,7.01,6.19,7,11,12,5,2,11,2345,68.97058824,2317,68.14705882,1380,812,1861,0.436,179,535,0.335,542,760,0.713,400,1269,400,194,133,450,614
65,Columbia,28,13,15,0.464,-0.38,-1.49,5,9,9,7,4,7,1816,64.85714286,1737,62.03571429,1120,637,1453,0.438,244,670,0.364,298,416,0.716,287,916,333,137,100,328,502
