TeamName,TeamID,Season,G,W,L,Eff,FGM,FG%,eFG%,FGA,FGM3,FG3%,FGA3,FTM,FT%,FTA,OR,ORB%,DR,DRB%,Ast,TO,TOV%,Stl,Blk,PF,OFGM,OFGA,OFG%,OeFG%,OFGM3,OFGA3,OFG3%,OFTM,OFTA,OFT%,OOR,OORB%,ODR,ODRB%,OAst,OTO,OTOV%,OStl,OBlk,OPF
Abilene Chr,1101,2014,21,2,19,15.714285714285714,427,40.55080721747388,47.198480531813864,1053,140,37.333333333333336,375,332,74.6067415730337,445,168,24.92581602373887,427,66.2015503875969,210,315,20.143240823634738,121,31,453,570,1122,50.80213903743316,56.417112299465245,126,340,37.05882352941177,385,542,71.03321033210332,218,33.798449612403104,506,75.07418397626114,327,255,15.784782231906306,147,105,392
Abilene Chr,1101,2015,28,7,21,19.892857142857142,600,40.48582995951417,47.33468286099865,1482,203,37.80260707635009,537,305,72.79236276849642,419,231,24.163179916317993,550,66.18531889290013,332,359,17.725243907255994,166,33,577,701,1424,49.22752808988764,55.30196629213483,173,468,36.965811965811966,437,636,68.71069182389937,281,33.81468110709988,725,75.83682008368201,362,377,18.11768324330559,164,119,463
Abilene Chr,1101,2016,27,9,18,26.703703703703702,643,44.16208791208791,50.51510989010989,1456,185,36.345776031434184,509,415,70.6984667802385,587,221,24.501108647450113,608,72.38095238095238,348,362,17.43502803090142,182,66,604,715,1449,49.344375431331954,54.554865424430645,151,409,36.919315403422985,478,674,70.91988130563799,232,27.61904761904762,681,75.49889135254989,347,363,17.21554046363395,138,89,531
Abilene Chr,1101,2017,25,9,16,28.24,611,45.8364591147787,52.47561890472618,1333,177,37.106918238993714,477,298,64.22413793103448,464,189,23.190184049079754,572,68.25775656324582,340,362,19.06105857326397,175,69,554,621,1342,46.274217585692995,52.86885245901639,177,490,36.12244897959184,397,595,66.72268907563026,266,31.742243436754176,626,76.80981595092024,340,370,18.7455669267403,151,79,431
Abilene Chr,1101,2018,27,12,15,31.555555555555557,689,45.18032786885246,50.91803278688525,1525,175,32.467532467532465,539,355,70.43650793650794,504,244,26.521739130434785,627,70.05586592178771,375,389,18.21365696520208,193,98,568,669,1466,45.634379263301504,51.739427012278306,179,533,33.58348968105066,449,633,70.93206951026856,268,29.944134078212294,676,73.47826086956522,325,418,19.32930100068439,176,79,477
Air Force,1102,2014,28,10,18,26.107142857142858,618,42.59131633356306,49.48311509303928,1451,200,32.89473684210526,608,372,69.01669758812616,539,244,26.378378378378383,640,69.7928026172301,375,377,18.255244145732053,148,83,529,654,1482,44.12955465587044,50.91093117408907,201,596,33.7248322147651,461,651,70.81413210445469,277,30.207197382769902,681,73.62162162162163,382,327,15.605314396976292,195,127,520
Air Force,1102,2015,29,12,17,32.172413793103445,685,46.53532608695652,53.60054347826087,1472,208,35.43441226575809,587,299,65.85903083700441,454,255,29.445727482678986,603,67.4496644295302,432,340,16.9006243289458,183,57,517,658,1464,44.94535519125683,53.00546448087432,236,645,36.58914728682171,358,519,68.97880539499036,291,32.5503355704698,611,70.55427251732101,419,359,17.500584977770846,168,105,495
Air Force,1102,2016,30,12,18,26.233333333333334,697,42.216838279830405,47.940642035130224,1651,189,33.3922261484099,566,440,67.3813169984686,653,264,24.37673130193906,765,71.8984962406015,391,396,16.964255114979952,183,50,580,741,1699,43.613890523837554,51.765744555620955,277,794,34.886649874055415,449,632,71.04430379746836,299,28.101503759398494,819,75.62326869806094,439,407,17.07157477936982,195,130,618
Air Force,1102,2017,31,10,21,30.258064516129032,751,42.79202279202279,49.8005698005698,1755,246,36.283185840707965,678,470,71.64634146341463,656,293,26.491862567811935,783,75.43352601156069,449,387,15.92173254780634,183,56,555,814,1768,46.040723981900456,54.60972850678733,303,828,36.594202898550726,413,577,71.57712305025997,255,24.566473988439306,813,73.50813743218806,491,378,15.750787539376967,195,108,638
Air Force,1102,2018,29,10,19,27.448275862068964,660,40.565457897971726,47.63368162261832,1627,230,32.48587570621469,708,384,73.84615384615384,520,285,27.403846153846157,658,71.21212121212122,403,370,16.62323658909156,187,76,526,732,1579,46.35845471817606,54.876504116529446,269,677,39.7341211225997,376,526,71.48288973384031,266,28.78787878787879,755,72.59615384615384,423,405,18.280792980175494,162,104,543
