Rk,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conference W,Conference L,Home W,Home L,Away W,Away L,Points Tm.,Points Opp.,School Advanced Pace,School Advanced ORtg,School Advanced FTr,School Advanced 3PAr,School Advanced TS%,School Advanced TRB%,School Advanced AST%,School Advanced STL%,School Advanced BLK%,School Advanced eFG%,School Advanced TOV%,School Advanced ORB%,School Advanced FT/FGA
1,Abilene Christian,31,10,21,0.323,-17.2,-6.34,4,14,7,6,1,14,1976,2186,65.9,96.7,0.289,0.362,0.516,44.6,56.7,9.9,3.6,0.482,17.2,25.5,0.21
2,Air Force,31,14,17,0.452,-1.85,-0.71,6,12,11,5,1,11,2037,2017,61.1,107.1,0.311,0.399,0.567,49.4,65.1,10.3,7.4,0.548,16.9,29.1,0.205
3,Akron,35,21,14,0.6,3.65,-0.47,9,9,15,3,2,9,2382,2203,64.7,104.8,0.311,0.473,0.523,50.5,52.8,10.1,12.1,0.498,15.6,33.4,0.205
4,Alabama A&M,29,9,20,0.31,-17.15,-9.62,8,10,4,7,5,12,1797,1988,64.5,95.6,0.419,0.376,0.489,49.5,58.2,8.8,6.1,0.451,18.3,35.8,0.271
5,Alabama-Birmingham NCAA,36,20,16,0.556,1.94,1.62,12,6,13,4,3,8,2476,2452,65.9,101.5,0.35,0.297,0.52,51,59.1,9.7,13,0.477,16.8,34.2,0.259
6,Alabama State,29,19,10,0.655,-8.97,-12.71,14,4,9,3,8,5,2090,1937,69.8,102.9,0.35,0.276,0.515,53.5,51.6,9.1,10.6,0.487,16.4,35.9,0.228
7,Alabama,34,19,15,0.559,10.52,8.09,8,10,14,5,4,8,2280,2180,63.1,105.4,0.436,0.404,0.548,49.7,46.1,10.1,11.1,0.505,16.4,30,0.313
8,Albany (NY) NCAA,33,24,9,0.727,-0.34,-5.18,15,1,12,3,12,5,2156,1996,61.2,106.4,0.39,0.343,0.546,53.5,47.9,9.2,5.5,0.499,16.2,32.6,0.296
9,Alcorn State,32,6,26,0.188,-20.75,-9.95,4,14,4,7,1,15,2066,2377,68.2,94.6,0.378,0.297,0.47,46.4,39.4,8.7,6.7,0.43,14.3,31.2,0.248
10,American,33,17,16,0.515,-3.56,-3.71,8,10,8,3,7,13,1938,1933,57.1,101.5,0.344,0.386,0.563,45.7,59.7,10.3,8,0.534,17.7,21.4,0.243
11,Appalachian State,29,12,17,0.414,-9.81,-3.18,9,11,7,5,5,12,1841,2033,66.5,95.4,0.335,0.367,0.496,49.9,49.9,6.3,5.4,0.456,17.6,31.2,0.238
12,Arizona State,34,18,16,0.529,9.52,6.66,9,9,15,3,3,10,2360,2263,66,103.3,0.421,0.363,0.541,52.9,53.3,8.7,6.1,0.509,17.8,31.8,0.281
13,Arizona NCAA,38,34,4,0.895,24.33,7.41,16,2,17,0,8,3,2911,2268,66.5,114.7,0.471,0.259,0.575,56.8,52.3,10.8,9.8,0.535,14.2,34.5,0.338
14,Arkansas-Little Rock,31,13,18,0.419,-5.38,-3.81,8,12,9,7,3,9,2146,2180,65.5,102.8,0.355,0.358,0.516,48.2,51.3,8.3,7.9,0.478,13.6,28.8,0.25
15,Arkansas-Pine Bluff,32,12,20,0.375,-15.65,-8.61,9,9,5,4,5,13,1915,2140,64.7,92.2,0.356,0.374,0.5,45,49.2,13.6,10.7,0.463,20.3,30.5,0.242
16,Arkansas State,29,11,18,0.379,-10.1,-3.81,6,14,5,9,6,9,1869,2018,66.9,95.5,0.325,0.315,0.496,49.1,48.3,7.9,8.1,0.459,17.2,30.3,0.228
17,Arkansas NCAA,36,27,9,0.75,14.07,6.79,13,5,17,2,7,5,2787,2525,70.1,109.6,0.373,0.31,0.539,50.2,59.2,10.9,12,0.5,14.3,35.7,0.27
18,Army,30,15,15,0.5,-6.5,-4.98,6,12,7,7,7,8,2164,2163,69,103.2,0.315,0.394,0.532,49.3,56.1,9.2,8.8,0.505,16.3,30.4,0.214
19,Auburn,35,15,20,0.429,3.27,8.15,4,14,9,8,2,10,2378,2523,67.9,99,0.484,0.387,0.514,46,49.5,9.9,7,0.471,16.4,28,0.322
20,Austin Peay,30,8,22,0.267,-12.45,-2.81,3,13,6,7,1,14,1937,2178,68.2,94.6,0.411,0.308,0.486,50.3,54.3,9.3,12.1,0.444,17.7,33,0.274
21,Ball State,30,7,23,0.233,-5.06,0.04,2,16,6,9,1,14,1961,2070,64,99.9,0.355,0.433,0.531,50.2,57.2,8.1,6.8,0.497,18.7,30.2,0.246
22,Baylor NCAA,34,24,10,0.706,17.85,9.33,11,7,16,2,6,5,2349,2048,62.8,109.2,0.386,0.334,0.53,55.9,61.1,12.2,11.2,0.497,16.4,42.4,0.26
23,Belmont NCAA,33,22,11,0.667,0.35,-2.77,11,5,12,2,7,8,2450,2330,67.5,109.9,0.324,0.48,0.589,50.3,58.7,9.4,5.5,0.567,17.8,29,0.225
24,Bethune-Cookman,32,11,21,0.344,-15.52,-10.45,7,9,6,8,4,11,1899,2003,61.3,96.7,0.429,0.346,0.503,51.1,42.1,8.9,8.1,0.452,19.2,35.6,0.308
